# PID Gains
# Kp = 0.158257
# Ki = 0.066055
# Kd = 0.137200
# Deadzone = 0.000
# -------------------------------------
time,x,y,xy_magnitude
149.94531846046448,-150.0,-85.0,172.40939649566667
149.9769697189331,-150.0,-83.0,171.4322023425004
150.02532863616943,-150.0,-82.0,170.95028517086482
150.0562779903412,-148.0,-83.0,169.6850022836432
150.09099507331848,-147.0,-82.0,168.32409215557945
150.1091423034668,-145.0,-82.0,166.58031096140985
150.13641953468323,-143.0,-82.0,164.84234892769516
150.1694619655609,-142.0,-80.0,162.9846618550347
150.20071125030518,-139.0,-77.0,158.90248582070703
150.26437830924988,-136.0,-72.0,153.88307249337075
150.29749035835266,-132.0,-68.0,148.48568954616468
150.32779121398926,-127.0,-65.0,142.66744548074027
150.34871578216553,-122.0,-62.0,136.85028315644803
150.37705445289612,-119.0,-60.0,133.27040181525678
150.4080948829651,-114.0,-58.0,127.90621564255585
150.44062757492065,-110.0,-57.0,123.89108119634763
150.5095341205597,-105.0,-57.0,119.47384651043926
150.5218906402588,-102.0,-57.0,116.84605256490268
150.54345679283142,-99.0,-56.0,113.74093370462545
150.57706713676453,-98.0,-56.0,112.8716084761797
150.60089659690857,-97.0,-55.0,111.50784725749125
150.645512342453,-97.0,-54.0,111.01801655587259
150.68112182617188,-97.0,-53.0,110.5350623105628
150.73734426498413,-97.0,-53.0,110.5350623105628
150.7684290409088,-97.0,-54.0,111.01801655587259
150.82454085350037,-97.0,-53.0,110.5350623105628
150.83461475372314,-98.0,-53.0,111.4136436887332
150.84535431861877,-98.0,-53.0,111.4136436887332
150.87267971038818,-98.0,-53.0,111.4136436887332
150.90397763252258,-97.0,-53.0,110.5350623105628
150.93680047988892,-96.0,-52.0,109.17875251164945
151.00548768043518,-95.0,-51.0,107.82393055347222
151.03175115585327,-93.0,-51.0,106.06601717798213
151.06051063537598,-90.0,-50.0,102.95630140987001
151.08114552497864,-86.0,-49.0,98.97979591815695
151.112238407135,-82.0,-47.0,94.51454914456292
151.14366149902344,-77.0,-45.0,89.1852005660132
151.1769998073578,-72.0,-44.0,84.38009243891595
151.22563123703003,-66.0,-42.0,78.23042886243178
151.25720047950745,-60.0,-40.0,72.11102550927978
151.28770089149475,-54.0,-37.0,65.45991139621256
151.30474066734314,-47.0,-34.0,58.008620049092706
151.33648991584778,-40.0,-31.0,50.60632371551998
151.36800861358643,-33.0,-28.0,43.278170016764804
151.40068316459656,-26.0,-24.0,35.38361202590826
151.45963335037231,-20.0,-21.0,29.0
151.49260568618774,-13.0,-17.0,21.400934559032695
151.51834273338318,-7.0,-14.0,15.652475842498529
151.54486846923828,-1.0,-10.0,10.04987562112089
151.5769395828247,5.0,-6.0,7.810249675906654
151.60842204093933,10.0,-3.0,10.44030650891055
151.64005780220032,15.0,1.0,15.033296378372908
151.67997932434082,20.0,4.0,20.396078054371138
151.71543955802917,24.0,7.0,25.0
151.74466037750244,28.0,9.0,29.410882339705484
151.7696659564972,31.0,11.0,32.89376840679705
151.80009961128235,34.0,12.0,36.05551275463989
151.84779953956604,37.0,14.0,39.56008088970496
151.91145133972168,39.0,15.0,41.78516483155236
151.942786693573,41.0,15.0,43.657759905886145
151.95531916618347,43.0,16.0,45.880278987817846
151.981999874115,44.0,16.0,46.8187996428785
152.00827145576477,44.0,16.0,46.8187996428785
152.03983640670776,45.0,16.0,47.75981574503821
152.07325887680054,45.0,15.0,47.43416490252569
152.10500979423523,45.0,15.0,47.43416490252569
152.14674067497253,44.0,15.0,46.486557196677836
152.1964626312256,44.0,14.0,46.17358552246078
152.2114086151123,43.0,14.0,45.221676218380054
152.2492699623108,43.0,14.0,45.221676218380054
152.28158140182495,42.0,13.0,43.965895873961216
152.3135859966278,42.0,13.0,43.965895873961216
152.37731075286865,42.0,13.0,43.965895873961216
152.4035885334015,42.0,13.0,43.965895873961216
152.42538905143738,42.0,13.0,43.965895873961216
