# PID Gains
# Kp = 0.141500
# Ki = 0.001500
# Kd = 0.107700
# Deadzone = 0.000
# -------------------------------------
time,x,y,xy_magnitude
133.33524799346924,-91.0,-54.0,105.8158778255891
133.36876487731934,-91.0,-55.0,106.3296760081587
133.4328579902649,-95.0,-54.0,109.27488274987991
133.45080733299255,-96.0,-54.0,110.14535850411491
133.4768362045288,-92.0,-55.0,107.18675291284833
133.50526332855225,-94.0,-53.0,107.91200118615167
133.5296187400818,-90.0,-54.0,104.95713410721541
133.559561252594,-91.0,-55.0,106.3296760081587
133.5907642841339,-94.0,-54.0,108.40664186294121
133.62469458580017,-89.0,-55.0,104.62313319720452
133.6817376613617,-89.0,-55.0,104.62313319720452
133.71566081047058,-89.0,-54.0,104.10091258005379
133.748384475708,-88.0,-54.0,103.24727599312246
133.76859736442566,-88.0,-54.0,103.24727599312246
133.80021905899048,-88.0,-54.0,103.24727599312246
133.8315668106079,-88.0,-54.0,103.24727599312246
133.86473512649536,-91.0,-53.0,105.30906893520614
133.91425108909607,-92.0,-54.0,106.6770828247567
133.95917439460754,-87.0,-55.0,102.9271587094485
133.96935606002808,-89.0,-55.0,104.62313319720452
133.99241518974304,-92.0,-54.0,106.6770828247567
134.02534818649292,-88.0,-55.0,103.77379245262264
134.0550138950348,-88.0,-55.0,103.77379245262264
134.13519024848938,-92.0,-55.0,107.18675291284833
134.16896867752075,-89.0,-56.0,105.152270541344
134.19921159744263,-85.0,-55.0,101.24228365658294
134.20835494995117,-84.0,-53.0,99.32270636667126
134.22959756851196,-82.0,-51.0,96.56603957913983
134.26441431045532,-79.0,-50.0,93.49331526906082
134.29526734352112,-76.0,-48.0,89.88882021697692
134.34868550300598,-72.0,-46.0,85.44003745317531
134.36906027793884,-69.0,-43.0,81.30190649671138
134.40041661262512,-64.0,-40.0,75.47184905645283
134.4524383544922,-59.0,-37.0,69.6419413859206
134.45813179016113,-54.0,-34.0,63.812224534175265
134.5049057006836,-49.0,-31.0,57.982756057296896
134.53546404838562,-43.0,-27.0,50.774009099144415
134.56760382652283,-38.0,-23.0,44.41846462902562
