# PID Gains
# Kp = 0.141500
# Ki = 0.001500
# Kd = 0.107700
# Deadzone = 0.000
# -------------------------------------
time,x,y,xy_magnitude
160.35923767089844,-88.0,-108.0,139.31259813814398
160.3912034034729,-92.0,-94.0,131.52946437965906
160.44368481636047,-92.0,-76.0,119.33147112141039
160.47741961479187,-94.0,-64.0,113.718951806636
160.51122570037842,-95.0,-55.0,109.77249200050075
160.53615617752075,-97.0,-50.0,109.12836478203089
160.56725001335144,-98.0,-47.0,108.6876257906115
160.60012936592102,-99.0,-46.0,109.16501271011697
160.65409564971924,-99.0,-45.0,108.74741376235114
160.67446660995483,-98.0,-45.0,107.83784122468327
160.7020812034607,-98.0,-45.0,107.83784122468327
160.73521828651428,-97.0,-46.0,107.35455276791944
160.76008915901184,-98.0,-46.0,108.25894882179486
160.7916703224182,-99.0,-47.0,109.59014554237986
160.82378482818604,-97.0,-47.0,107.78682665335315
160.89020347595215,-97.0,-48.0,108.2266141020775
160.9211003780365,-95.0,-50.0,107.35455276791944
160.95972537994385,-96.0,-50.0,108.24047302187847
160.96950793266296,-94.0,-49.0,106.00471687618433
161.00073552131653,-93.0,-49.0,105.11898020814318
161.03163170814514,-94.0,-49.0,106.00471687618433
161.06509804725647,-95.0,-49.0,106.89246933250256
161.12797236442566,-94.0,-48.0,105.54619841567009
161.1507213115692,-95.0,-49.0,106.89246933250256
161.1806719303131,-95.0,-49.0,106.89246933250256
161.2005045413971,-96.0,-49.0,107.78218776773832
161.22435212135315,-95.0,-49.0,106.89246933250256
161.25557279586792,-96.0,-50.0,108.24047302187847
161.3035318851471,-97.0,-51.0,109.59014554237986
161.36262011528015,-95.0,-50.0,107.35455276791944
161.3922348022461,-96.0,-51.0,108.70602559196064
161.4182014465332,-96.0,-51.0,108.70602559196064
161.43158626556396,-94.0,-50.0,106.47065323364932
161.46281480789185,-95.0,-51.0,107.82393055347222
161.49525713920593,-94.0,-50.0,106.47065323364932
161.5277075767517,-94.0,-51.0,106.94391053257777
161.58666944503784,-94.0,-51.0,106.94391053257777
161.61345291137695,-95.0,-51.0,107.82393055347222
161.64019107818604,-94.0,-51.0,106.94391053257777
161.65701365470886,-95.0,-51.0,107.82393055347222
161.70373606681824,-95.0,-51.0,107.82393055347222
161.73718762397766,-95.0,-50.0,107.35455276791944
161.79894495010376,-96.0,-51.0,108.70602559196064
161.8101155757904,-95.0,-50.0,107.35455276791944
161.84045886993408,-95.0,-50.0,107.35455276791944
161.89367866516113,-96.0,-50.0,108.24047302187847
161.90148520469666,-95.0,-50.0,107.35455276791944
161.92826581001282,-95.0,-50.0,107.35455276791944
